asv	taxonomy
asv.1	Eukaryota
asv.2	Clausocalanus_furcatus
asv.3	Eurotatoria
asv.4	Arthropoda
asv.5	Eukaryota
asv.6	Farranula_gibbula
asv.7	Eukaryota
asv.8	Metazoa
asv.9	Eukaryota
asv.10	Metazoa
asv.11	Eukaryota
asv.12	Eukaryota
asv.13	Cypretta_maya
asv.14	Eukaryota
asv.15	Clausocalanus_furcatus
asv.16	Clausocalanus_furcatus
asv.17	Eukaryota
asv.18	Cypretta_maya
asv.19	Eukaryota
asv.20	Eukaryota
asv.21	Eukaryota
asv.22	Arthropoda
asv.23	Arthropoda
asv.24	Eukaryota
asv.25	Eukaryota
asv.26	Metazoa
asv.27	Arthropoda
asv.28	Clausocalanus_furcatus
asv.29	Eukaryota
asv.30	Farranula_gibbula
asv.31	undef_Eukaryota
asv.32	Eukaryota
asv.33	Eukaryota
asv.34	Eukaryota
asv.35	Arthropoda
asv.36	Metazoa
asv.37	Eukaryota
asv.38	Eukaryota
asv.39	Acartia_negligens
asv.40	Metazoa
asv.41	Metazoa
asv.42	Metazoa
asv.43	Phaeocystis
asv.44	Arthropoda
asv.45	Eukaryota
asv.46	Metazoa
asv.47	Metazoa
asv.48	Paravannella_minima
asv.49	Phanerophthalmus_lentigines
asv.50	Metazoa
asv.51	Eukaryota
asv.52	Eukaryota
asv.53	Eukaryota
asv.54	Cerithium_rostratum
asv.55	Phaeocystis
asv.56	Eukaryota
asv.57	Metazoa
asv.58	Eukaryota
asv.59	Eukaryota
asv.60	Arthropoda
asv.61	Eukaryota
asv.62	Metazoa
asv.63	Eukaryota
asv.64	Arthropoda
asv.65	Eukaryota
asv.66	Eukaryota
asv.67	Arthropoda
asv.68	Calanoida
asv.69	Metazoa
asv.70	Phaeocystis
asv.71	Arthropoda
asv.72	Eukaryota
asv.73	Arthropoda
asv.74	Eukaryota
asv.75	Eukaryota
asv.76	Eukaryota
asv.77	Eukaryota
asv.78	Eukaryota
asv.79	Eukaryota
asv.80	Eukaryota
asv.81	Eukaryota
asv.82	Eukaryota
asv.83	Metazoa
asv.84	Eukaryota
asv.85	Metazoa
asv.86	Metazoa
asv.87	Eukaryota
asv.88	Metazoa
asv.89	Eukaryota
asv.90	Arthropoda
asv.91	Pseudo-nitzschia_pseudodelicatissima
asv.92	Eukaryota
asv.93	Metazoa
asv.94	Phaeocystis_globosa
asv.95	Eukaryota
asv.96	Eukaryota
asv.97	Eukaryota
asv.98	Eukaryota
asv.99	Eukaryota
asv.100	Eukaryota
asv.101	Cerithium_nesioticum
asv.102	Eukaryota
asv.103	Eukaryota
asv.104	Metazoa
asv.105	undef_Eukaryota
asv.106	Pseudo-nitzschia_pseudodelicatissima
asv.107	Eukaryota
asv.108	Eukaryota
asv.109	Clausocalanus_furcatus
asv.110	Metazoa
asv.111	Eukaryota
asv.112	Xiphinema_brevicolle
asv.113	Eukaryota
asv.114	Eukaryota
asv.115	Eukaryota
asv.116	Eukaryota
asv.117	Eukaryota
asv.118	Eukaryota
asv.119	Paracalanus_denudatus
asv.120	Eukaryota
asv.121	Clausocalanus_furcatus
asv.122	Metazoa
asv.123	Eukaryota
asv.124	Eukaryota
asv.125	undef_Oomycota
asv.126	Eukaryota
asv.127	Metazoa
asv.128	Eukaryota
asv.129	Eukaryota
asv.130	Eukaryota
asv.131	Metazoa
asv.132	Eukaryota
asv.133	Eukaryota
asv.134	Cylindrotheca_closterium
asv.135	Insecta
asv.136	Arthropoda
asv.137	Arthropoda
asv.138	Eukaryota
asv.139	Eukaryota
asv.140	Eukaryota
asv.141	Eukaryota
asv.142	Eukaryota
asv.143	Eukaryota
asv.144	Metazoa
asv.145	Eukaryota
asv.146	Metazoa
asv.147	Metazoa
asv.148	Phaeocystis
asv.149	Eukaryota
asv.150	Metazoa
asv.151	Eukaryota
asv.152	Eukaryota
asv.153	Eukaryota
asv.154	Pseudo-nitzschia_pseudodelicatissima
asv.155	Eukaryota
asv.156	Metazoa
asv.157	Eukaryota
asv.158	Clausocalanus_furcatus
asv.159	Eukaryota
asv.160	Metazoa
asv.161	Metazoa
asv.162	Eukaryota
asv.163	Eukaryota
asv.164	Eukaryota
asv.165	Eukaryota
asv.166	Eukaryota
asv.167	Eukaryota
asv.168	Eukaryota
asv.169	Arthropoda
asv.170	Eukaryota
asv.171	Eukaryota
asv.172	Pterosagitta_draco
asv.173	Eukaryota
asv.174	Eukaryota
asv.175	Metazoa
asv.176	Eukaryota
asv.177	Eukaryota
asv.178	Arthropoda
asv.179	Eukaryota
asv.180	Arthropoda
asv.181	Eukaryota
asv.182	Metazoa
asv.183	Eukaryota
asv.184	undef_Eukaryota
asv.185	Metazoa
asv.186	Metazoa
asv.187	Eukaryota
asv.188	Eukaryota
asv.189	Metazoa
asv.190	Metazoa
asv.191	Eukaryota
asv.192	Eukaryota
asv.193	Eukaryota
asv.194	Eukaryota
asv.195	Metazoa
asv.196	Eukaryota
asv.197	Metazoa
asv.198	Metazoa
asv.199	Eukaryota
asv.200	Arthropoda
asv.201	Eukaryota
asv.202	Metazoa
asv.203	Eukaryota
asv.204	Acartia_negligens
asv.205	Eukaryota
asv.206	Eukaryota
asv.207	Acrocalanus_gracilis
asv.208	undef_Gastropoda
asv.209	Eukaryota
asv.210	Eukaryota
asv.211	Thuridilla_livida
asv.212	Eukaryota
asv.213	Arthropoda
asv.214	Eukaryota
asv.215	Eukaryota
asv.216	undef_Eukaryota
asv.217	Metazoa
asv.218	Eukaryota
asv.219	Arthropoda
asv.220	Eukaryota
asv.221	Lophocochlias_minutissimus
asv.222	Eukaryota
asv.223	Florideophyceae
asv.224	Eukaryota
asv.225	Eukaryota
asv.226	undef_Eukaryota
asv.227	Eukaryota
asv.228	Eukaryota
asv.229	Metazoa
asv.230	Eukaryota
asv.231	Metazoa
asv.232	Eukaryota
asv.233	Eukaryota
asv.234	Eukaryota
asv.235	Eukaryota
asv.236	Eukaryota
asv.237	Epigonichthys_maldivensis
asv.238	Eukaryota
asv.239	Eukaryota
asv.240	Eukaryota
asv.241	Metazoa
asv.242	Eukaryota
asv.243	Eukaryota
asv.244	Eukaryota
asv.245	Eukaryota
asv.246	Metazoa
asv.247	Eukaryota
asv.248	Homo_sapiens
asv.249	Eukaryota
asv.250	Eukaryota
asv.251	undef_Oomycota
asv.252	Eukaryota
asv.253	Eukaryota
asv.254	Poteriospumella_lacustris
asv.255	Eukaryota
asv.256	Cylindrotheca_closterium
asv.257	Eukaryota
asv.258	Eukaryota
asv.259	Eukaryota
asv.260	Eukaryota
asv.261	Metazoa
asv.262	Eukaryota
asv.263	Eukaryota
asv.264	Arthropoda
asv.265	Bivalvia
asv.266	Phaeocystis
asv.267	Eukaryota
asv.268	Eukaryota
asv.269	Calanoida
asv.270	Metazoa
asv.271	Metazoa
asv.272	Creseis_virgula
asv.273	Eukaryota
asv.274	Eukaryota
asv.275	Eukaryota
asv.276	Epigonichthys_maldivensis
asv.277	Metazoa
asv.278	Florideophyceae
asv.279	Eukaryota
